Date,AN,AP,AR,AS,BR,CH,CT,DD,DL,DN,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TG,TN,TR,UP,UT,WB,Total
01 Apr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1.0,0,0,0,0,0,0,0,3,0,0,2,0,0,9
02 Apr,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,8,0,0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,14
03 Apr,0,1,0,0,0,0,0,0,2,0,0,2,1,0,0,0,1,0,0,0,5,0,0,0.0,0,0,0,0,0,0,0,2,0,0,0,0,0,14
04 Apr,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,3.0,0,0,0,0,0,1,0,0,2,0,0,0,0,13
05 Apr,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,13,0,0,2.0,0,0,0,2,0,0,0,0,2,0,1,0,0,22
06 Apr,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,7,0,0,2.0,0,0,0,0,0,1,0,0,1,0,0,0,0,16
07 Apr,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,12,0,0,6.0,0,0,1,1,0,0,0,0,1,0,0,0,0,27
08 Apr,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,8,0,0,3.0,0,0,0,1,0,1,0,0,1,0,1,0,2,20
09 Apr,0,2,0,0,0,0,0,0,3,0,0,2,0,0,1,1,1,0,0,0,25,0,0,9.0,0,0,0,1,0,0,0,1,0,0,0,0,0,46
10 Apr,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,12,0,0,4.0,0,0,0,1,0,0,0,0,1,0,0,0,0,22
11 Apr,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,1,0,0,17,0,0,4.0,0,0,0,1,0,6,0,2,1,0,1,0,0,40
12 Apr,0,1,0,0,0,0,0,0,5,0,0,2,0,1,1,0,0,0,0,0,22,0,0,3.0,0,0,0,0,0,2,0,2,1,0,0,0,2,42
13 Apr,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,2,0,0,0,11,0,0,7.0,0,0,0,0,0,0,0,1,0,0,0,0,0,27
14 Apr,0,4,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,18,0,0,3.0,0,0,0,1,0,0,0,1,1,0,3,0,0,37
15 Apr,0,3,0,0,0,0,0,0,2,0,0,5,0,0,0,0,2,0,0,0,9,1,0,0.0,0,0,0,0,0,0,0,0,2,0,3,0,0,27
16 Apr,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,1,0,0,0,7,0,0,2.0,0,0,0,1,0,0,0,0,1,0,2,0,3,26
17 Apr,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,1,0,0,0,0,7,0,0,14.0,0,0,0,0,0,6,0,0,0,0,1,0,0,38
18 Apr,0,2,0,0,1,0,0,0,1,0,0,12,0,0,0,0,1,0,0,0,10,0,0,0.0,0,0,0,2,0,4,0,0,0,0,0,0,2,35
19 Apr,0,1,0,0,0,0,0,0,2,0,0,10,0,0,0,0,2,0,0,0,12,0,0,3.0,0,0,0,0,0,2,0,3,0,0,3,0,0,38
20 Apr,0,3,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,9,0,0,4.0,0,0,0,0,0,2,0,2,2,0,1,0,0,33
21 Apr,0,2,0,0,0,0,0,0,0,0,0,19,0,0,0,0,1,0,0,0,19,0,0,4.0,0,0,0,0,0,1,0,0,1,0,3,0,3,53
22 Apr,0,2,0,0,0,0,0,0,1,0,0,13,0,0,0,0,0,0,0,0,18,0,0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,36
23 Apr,0,3,0,0,0,0,0,0,2,0,0,9,0,0,1,0,0,0,0,0,14,0,0,3.0,0,0,0,1,0,1,0,1,2,0,3,0,0,40
24 Apr,0,2,0,0,0,0,0,0,3,0,0,15,0,0,0,0,1,1,0,0,18,0,0,9.0,0,0,0,0,0,4,0,0,2,0,1,0,3,59
25 Apr,0,2,0,0,0,0,0,0,1,0,0,6,0,0,0,1,0,0,0,0,22,0,0,7.0,0,0,0,0,0,2,0,0,1,0,2,0,0,44
26 Apr,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,1,0,0,0,19,0,0,4.0,0,0,0,1,0,7,0,0,1,0,3,0,2,56
27 Apr,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,1,0,0,0,27,0,0,7.0,0,0,0,1,0,9,0,0,0,0,1,0,0,58
28 Apr,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,1,0,0,0,0,31,0,0,10.0,0,0,0,0,0,2,0,0,1,0,3,0,2,69
29 Apr,0,0,0,0,0,0,0,0,2,0,0,16,0,0,0,0,1,0,0,0,32,0,0,10.0,0,0,0,0,0,3,0,0,2,0,5,0,0,71
30 Apr,0,0,0,0,0,0,0,0,3,0,0,17,0,1,0,0,1,0,0,0,27,0,0,7.0,0,0,0,1,0,3,0,3,0,0,1,0,11,75
01 May,0,2,0,0,1,0,0,0,2,0,0,22,0,0,0,0,0,0,0,0,26,0,0,8.0,0,0,0,0,0,4,0,0,1,0,2,1,8,77
02 May,0,0,0,0,1,0,0,0,3,0,0,26,0,1,0,0,3,0,0,0,36,0,0,6.0,0,0,0,0,0,6,0,1,1,0,1,0,7,92
03 May,0,0,0,0,0,1,0,0,0,0,0,28,0,0,0,0,0,0,0,0,27,0,0,5.0,0,0,0,1,0,3,0,0,1,0,0,0,74,140
04 May,0,0,0,0,0,0,0,0,0,0,0,29,0,1,0,0,2,0,0,0,35,0,0,9.0,0,0,0,2,0,6,0,0,1,0,7,0,11,103
05 May,0,1,0,0,0,0,0,0,0,0,0,49,1,0,0,0,2,0,0,0,34,0,0,11.0,0,0,1,2,0,12,0,0,2,0,6,0,7,128
06 May,0,2,0,0,0,0,0,0,1,0,0,28,0,1,0,0,0,0,0,0,34,0,0,9.0,0,0,0,2,0,4,0,0,2,0,4,0,4,91
07 May,0,2,0,0,1,0,0,0,1,0,0,29,0,0,0,1,1,0,0,0,43,0,0,8.0,0,0,0,1,0,6,0,0,2,0,2,0,7,104
08 May,0,3,0,1,0,1,0,0,2,0,0,24,0,1,0,0,0,0,0,0,37,0,0,7.0,0,0,0,1,0,4,0,0,3,0,4,0,9,97
09 May,0,3,0,-1,0,0,0,0,0,0,0,23,0,1,0,0,0,0,0,0,48,0,0,11.0,0,0,1,2,0,3,0,1,4,0,8,0,11,115
10 May,0,1,0,0,1,1,0,0,5,0,0,21,0,1,0,0,1,0,0,0,53,0,0,4.0,0,0,0,0,0,2,0,0,3,0,5,0,14,112
11 May,0,0,0,0,0,0,0,0,0,0,0,20,0,1,0,1,0,0,0,0,36,0,0,6.0,0,0,0,0,0,5,0,0,6,0,1,0,5,81
12 May,0,1,0,0,0,0,0,0,13,0,0,24,0,0,0,0,0,0,0,0,53,0,0,4.0,0,0,0,1,0,4,0,2,8,0,2,0,8,120
13 May,0,1,0,0,1,0,0,0,20,0,0,29,0,0,0,1,2,0,0,0,54,0,0,7.0,0,0,0,0,0,4,0,2,3,0,4,0,9,137
14 May,0,1,0,0,0,0,0,0,9,0,0,20,0,0,0,0,2,0,0,0,44,0,0,5.0,0,0,0,0,0,4,0,0,2,0,2,0,8,97
15 May,0,0,0,0,0,0,0,0,8,0,0,20,0,2,0,0,1,0,0,0,49,0,0,2.0,0,0,0,0,0,0,0,0,5,0,7,0,10,104
16 May,0,1,0,0,1,0,0,0,6,0,0,19,0,0,0,1,0,0,0,0,67,0,0,4.0,0,0,0,0,0,1,0,0,4,0,9,0,7,120
17 May,0,1,0,0,0,0,0,0,19,0,0,34,0,1,0,1,1,0,0,0,63,0,0,5.0,0,0,1,3,0,5,0,0,4,0,8,0,6,152
